City,Airport,IATA Siglum,URL,Latitude,Longitude
Philippines,Dipolog Airport,DPL/RPMG,https://www.flightradar24.com/data/airports/dpl,8.601389,123.334442
Philippines,Dumaguete City Sibulan Airport,DGT/RPVD,https://www.flightradar24.com/data/airports/dgt,9.333714,123.3004
Philippines,El Nido Airport,ENI/RPEN,https://www.flightradar24.com/data/airports/eni,11.2025,119.416115
Philippines,General Santos International Airport,GES/RPMR,https://www.flightradar24.com/data/airports/ges,6.058056,125.096107
Philippines,Iloilo International Airport,ILO/RPVI,https://www.flightradar24.com/data/airports/ilo,10.8325,122.493057
Philippines,Kalibo International Airport,KLO/RPVK,https://www.flightradar24.com/data/airports/klo,11.67943,122.376198
Philippines,Laoag City International Airport,LAO/RPLI,https://www.flightradar24.com/data/airports/lao,18.178057,120.53167
Philippines,Legazpi Airport,LGP/RPLP,https://www.flightradar24.com/data/airports/lgp,13.15706,123.746201
Philippines,Mambajao Camiguin Airport,CGM/RPMH,https://www.flightradar24.com/data/airports/cgm,9.253611,124.706947
Philippines,Mamburao Airport,MBO/RPUM,https://www.flightradar24.com/data/airports/mbo,13.20809,120.605301
Philippines,Manila Ninoy Aquino International Airport,MNL/RPLL,https://www.flightradar24.com/data/airports/mnl,14.50864,121.019501
